epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.01,1.36485,1.63096,1.33648,0.80552,0.69074,0.77319,0.60478,0.94449,0.90342,1.04437,0.00332945,0.00332945,0.00332945
2,268.961,1.2334,1.02906,1.21096,0.82354,0.74214,0.82981,0.64226,0.95992,0.82361,1.05361,0.00653086,0.00653086,0.00653086
3,396.126,1.23776,0.95695,1.20373,0.84462,0.80414,0.86105,0.67488,0.91366,0.71645,1.03151,0.00960027,0.00960027,0.00960027
4,522.064,1.2257,0.89474,1.20744,0.82434,0.77764,0.8413,0.64409,0.94385,0.72372,1.05091,0.009406,0.009406,0.009406
5,648.877,1.17397,0.80949,1.1849,0.85992,0.82267,0.88401,0.69324,0.92125,0.64519,1.04785,0.009208,0.009208,0.009208
6,779.601,1.14347,0.76402,1.17131,0.86223,0.83022,0.8907,0.69886,0.90772,0.62499,1.03896,0.00901,0.00901,0.00901
7,915.669,1.10946,0.7219,1.15344,0.89043,0.84987,0.91697,0.73379,0.85424,0.56293,1.01825,0.008812,0.008812,0.008812
8,1044.98,1.0816,0.69589,1.14038,0.89919,0.8584,0.93043,0.7538,0.83274,0.54421,0.999,0.008614,0.008614,0.008614
9,1167.87,1.06245,0.67662,1.13256,0.89351,0.85528,0.92239,0.74704,0.83919,0.53579,1.00536,0.008416,0.008416,0.008416
10,1290.93,1.03795,0.65534,1.11807,0.91416,0.86937,0.93905,0.76255,0.82228,0.51466,0.99926,0.008218,0.008218,0.008218
11,1413.83,1.02799,0.64383,1.11031,0.90383,0.8753,0.93925,0.76858,0.80707,0.49907,0.98684,0.00802,0.00802,0.00802
12,1536.53,1.01144,0.63147,1.10142,0.8944,0.89661,0.94065,0.7739,0.7953,0.49125,0.97995,0.007822,0.007822,0.007822
13,1659.45,0.99853,0.61894,1.09006,0.90577,0.89243,0.94644,0.78196,0.79111,0.48583,0.97077,0.007624,0.007624,0.007624
14,1781.8,0.98487,0.60893,1.08387,0.90488,0.89429,0.94949,0.79018,0.78273,0.46952,0.97005,0.007426,0.007426,0.007426
15,1903.7,0.96785,0.59432,1.07522,0.91077,0.89633,0.95144,0.79515,0.76712,0.46765,0.96228,0.007228,0.007228,0.007228
16,2025.92,0.96326,0.58969,1.07143,0.91498,0.90219,0.95228,0.79607,0.76949,0.46553,0.96325,0.00703,0.00703,0.00703
17,2147.85,0.95344,0.58013,1.06616,0.92548,0.90077,0.95583,0.80593,0.76102,0.45512,0.95615,0.006832,0.006832,0.006832
18,2270,0.94432,0.57186,1.05997,0.92138,0.90427,0.95677,0.80794,0.75159,0.44936,0.9575,0.006634,0.006634,0.006634
19,2392.31,0.93793,0.56635,1.05365,0.93255,0.90509,0.96233,0.81181,0.74919,0.44611,0.94962,0.006436,0.006436,0.006436
20,2514.75,0.92841,0.5585,1.0515,0.93247,0.91428,0.96607,0.81865,0.74474,0.43418,0.94927,0.006238,0.006238,0.006238
21,2637.25,0.91961,0.55225,1.04239,0.93389,0.91357,0.96522,0.82116,0.74024,0.42679,0.94136,0.00604,0.00604,0.00604
22,2759.05,0.91559,0.54537,1.03732,0.93215,0.91419,0.96581,0.82158,0.73346,0.42435,0.94089,0.005842,0.005842,0.005842
23,2881.46,0.90495,0.53938,1.03223,0.92754,0.91836,0.96278,0.8202,0.72767,0.41892,0.93543,0.005644,0.005644,0.005644
24,3003.63,0.89924,0.53449,1.03021,0.9315,0.92569,0.96608,0.82617,0.72235,0.41464,0.93145,0.005446,0.005446,0.005446
25,3126.07,0.8948,0.53063,1.02829,0.95026,0.92212,0.97059,0.83051,0.72066,0.4056,0.93381,0.005248,0.005248,0.005248
26,3248.48,0.88551,0.52017,1.02146,0.93033,0.92671,0.96678,0.83048,0.72139,0.41037,0.93323,0.00505,0.00505,0.00505
27,3371.02,0.88185,0.52014,1.02358,0.94575,0.92584,0.97171,0.83676,0.71333,0.40024,0.92865,0.004852,0.004852,0.004852
28,3493.56,0.87754,0.5171,1.02096,0.94111,0.92991,0.97022,0.83376,0.71235,0.40164,0.9226,0.004654,0.004654,0.004654
29,3616.01,0.86981,0.51006,1.01629,0.93915,0.93437,0.97298,0.83791,0.70703,0.39423,0.92162,0.004456,0.004456,0.004456
30,3738.86,0.86846,0.50773,1.01258,0.9465,0.93274,0.97322,0.84125,0.70857,0.39318,0.92368,0.004258,0.004258,0.004258
31,3861.12,0.85991,0.49875,1.00625,0.93889,0.93699,0.97493,0.8459,0.70173,0.38534,0.91774,0.00406,0.00406,0.00406
32,3983.67,0.85433,0.49423,1.00458,0.94932,0.92877,0.97432,0.84508,0.69819,0.38272,0.9166,0.003862,0.003862,0.003862
33,4106.06,0.84987,0.49338,1.00693,0.95147,0.92975,0.97538,0.84257,0.70115,0.38484,0.91916,0.003664,0.003664,0.003664
34,4228.22,0.84206,0.48637,0.99912,0.949,0.9361,0.97593,0.84617,0.6972,0.37819,0.91449,0.003466,0.003466,0.003466
35,4350.27,0.84156,0.48404,1.00004,0.94655,0.93724,0.97675,0.84974,0.69156,0.37696,0.91296,0.003268,0.003268,0.003268
36,4471.96,0.83538,0.47902,0.99826,0.94332,0.94557,0.97662,0.85208,0.69086,0.37338,0.91376,0.00307,0.00307,0.00307
37,4594.07,0.83099,0.47628,0.99408,0.95012,0.93824,0.97656,0.85367,0.68845,0.37213,0.91082,0.002872,0.002872,0.002872
38,4716.65,0.82407,0.47089,0.99278,0.94729,0.94184,0.97637,0.85368,0.68775,0.3704,0.91219,0.002674,0.002674,0.002674
